class;frame_id;l_elbow_angle;r_elbow_angle;l_shoulder_angle;r_shoulder_angle
teszt;0;72.61899559124761;78.8758799302721;53.18993261686555;65.56026064125459
teszt;1;76.97983602589775;78.40836821868338;35.894377535401304;57.73634143529445
teszt;2;81.51534619598614;84.96160509902711;37.97620506004878;52.63997998316225
teszt;3;76.9859159740607;86.40318634536327;35.27929017131907;55.63093332589191
teszt;4;71.00693230944275;89.60758710355196;31.894328382048307;55.675228429251554
teszt;5;76.68064259006852;93.36308323075531;33.996909473595245;56.502618510007196
teszt;6;79.3564290959704;94.37011835861827;32.76388832759623;55.060618616483204
teszt;7;74.39764086471953;94.46189975806938;29.806716000461854;54.226866578930114
teszt;8;72.76681441946812;92.80114356640847;29.08361564118598;55.15891547487521
teszt;9;72.78585019051661;95.6439863876988;28.37166558303657;55.40707897276786
teszt;10;74.79987557956679;95.0935275695662;27.715767041338417;54.4321144840628
teszt;11;74.25985002292708;96.18967524569013;28.52695694030158;55.37700741185674
teszt;12;72.22925707957802;96.61916807652626;28.016892261410266;55.226139166833384
teszt;13;72.06960714634498;94.13229026125924;28.74763224516354;53.91429773993191
teszt;14;73.3559197708318;93.23102554849326;28.52228798659625;53.32888562457939
teszt;15;71.32282687544377;93.30453999311763;26.313263188004882;53.77223354564224
teszt;16;70.60010519838679;92.8877001662395;24.768435507880152;56.72664776627308
teszt;17;71.04253547821226;92.20846262100176;24.60126075866966;56.04900538320551
teszt;18;65.02064029756947;91.07437351398185;22.11770948393494;55.35950019202444
teszt;19;69.49495374876145;89.6780151469807;22.134572786685307;54.28567329349284
teszt;20;68.5838475883222;88.75030141411116;22.930241489212023;54.59242332308806
teszt;21;64.5729798855383;89.10580346372227;20.426649990461055;55.46346755889287
teszt;22;59.618512842764375;87.73397393996252;18.437369929289353;56.29314225778947
teszt;23;62.750403019927845;86.92246177885838;19.265679560172977;56.03604244324049
teszt;24;66.61564289277393;88.86454815700712;19.084803377238046;56.14030574416673
teszt;25;70.50371546716633;88.11156575595726;19.127083966692048;54.913180258257434
teszt;26;61.99804155892446;88.91336379345171;18.31254838367645;55.33738486537017
teszt;27;66.18966653962784;90.27160889510974;20.51910014842825;55.275245319607095
teszt;28;70.76203753368252;91.23259193537804;25.903313514289156;55.901263539366575
teszt;29;79.23153520826891;97.40486946039081;34.37260034811094;58.29658232704393
teszt;30;84.54166947082608;104.72426431129432;44.65177611151923;63.6935576928309
teszt;31;89.05022457894961;102.80087042664918;64.97798515172576;68.45278328909389
teszt;32;112.98428130195609;102.24267137292395;78.56144441239815;80.6273928594981
teszt;33;129.63364864410704;108.96873494839421;79.66179067924033;97.79756567044558
teszt;34;128.98798217895342;107.43109280520612;82.99802680050048;91.61955967072971
teszt;35;126.33863463735618;111.7207461602311;80.20790333785975;99.44987445656197
teszt;36;125.49586402197531;111.07461702207965;79.45704564609152;95.76866918167755
teszt;37;124.95133821157626;113.85386211243353;74.68934511380037;103.18383194056642
teszt;38;124.5778289467667;110.29766428268917;78.0352870520941;96.95065228507256
teszt;39;121.86905462465063;112.57337950492978;75.47341124487622;102.62736885981576
teszt;40;125.09446535123224;111.44845772681988;78.40899572003181;102.94155462272204
teszt;41;141.29853164252185;104.29514107517551;80.86016004775816;102.49100326265933
teszt;42;130.72954656260058;101.48478587787174;79.80224394879062;97.89263314735793
teszt;43;128.4302694322827;103.62680690919223;79.64977881153096;99.53809669120793
teszt;44;136.33354110939948;101.54872650459173;79.327002060139;97.9829371517112
teszt;45;133.38892252322663;106.66315070009891;80.06731179357301;98.06199203912888
teszt;46;136.17441408969984;106.35500786050198;80.87346995955254;97.58197847804043
teszt;47;131.84907017459514;117.43845855373574;79.41300280520878;106.99670464863831
teszt;48;135.82837575541515;114.85812158918306;80.07731913733369;104.08160335073204
teszt;49;132.29510386160922;113.03453977140104;80.86328321693604;102.73429826240964
teszt;50;128.6118488914631;115.22370093734015;80.48384571525507;105.30896884653839
teszt;51;130.18891030485932;114.39313759011849;82.76168694704646;104.45917556509211
teszt;52;133.70518915264984;112.1274606338102;87.59553963724524;93.74287497938774
teszt;53;135.0529987296622;112.79535916049379;88.88253889825427;89.77833448896014
teszt;54;136.1304935815147;112.55900807575604;88.09835517819546;94.55208011270365
teszt;55;134.15159206281655;118.10671530989734;87.24959073213027;102.01183629333079
teszt;56;136.62033930587245;111.00153408124238;84.4650821271205;100.2044152587198
teszt;57;129.93837004994447;114.38514882319893;86.09941571704415;95.63198176080365
teszt;58;129.3476574389318;110.01459847533393;85.66608326688763;96.34604389885797
teszt;59;128.35006823097405;116.34627226913165;88.88718608378502;95.0983501503039
teszt;60;130.09322969113651;113.83923559485301;90.3250824245738;88.16009433193061
teszt;61;126.69494240063402;114.48283070057516;90.21617977977714;87.83512620049605
teszt;62;125.49668138420161;113.16511982739856;89.24382067773551;86.2899960737202
teszt;63;125.90523806607504;112.54793713720815;89.16096016159264;83.08890600232556
teszt;64;107.36728687054682;117.12433438013443;87.71948595314802;87.51054564865572
teszt;65;116.75393027224727;114.62402073698316;87.04955683038372;84.51098417873563
teszt;66;117.56577818837069;112.3649759680274;87.71617635149133;81.60424936554001
teszt;67;114.73442279479343;116.39298225216997;82.98473314783071;97.73809479523442
teszt;68;113.8045509039222;111.43693985194606;83.51822629932363;86.058036823481
teszt;69;116.23981879573991;112.60571337305866;81.96959801511818;85.22201673801354
teszt;70;115.99974966696986;111.70004560083545;80.79816658588578;81.0758004103154
teszt;71;115.8797152961787;114.56118265900942;80.5768542943803;82.00734434376646
teszt;72;114.0601502602674;115.23449451283378;79.39013800007295;80.7019268997125
teszt;73;114.42399326533503;114.692191589434;78.61634911244973;80.96302176169398
teszt;74;115.86948894401492;112.22240949715227;78.80308643163944;79.32906981192065
teszt;75;116.34404022282074;113.44502193768703;78.9757692759454;79.55389419970534
teszt;76;119.91266005563241;108.50959789009386;79.56602645897681;78.82704700821805
teszt;77;118.25007651717378;113.84694113500166;78.48343642177801;79.80993712239547
teszt;78;117.45400545776782;114.64378675149963;78.3219588611147;79.56879796330666
teszt;79;116.86373078575478;115.50538423379297;78.35006762230523;83.63973011198897
teszt;80;115.53063413663095;114.612435906818;78.00982501546707;83.17494780540247
teszt;81;118.36320443202007;110.04258343551253;78.28672557664099;78.98053887540227
teszt;82;118.12833797784673;113.64605650960686;78.4441213884672;79.91463121758234
teszt;83;117.58175043503184;113.89705512059912;78.5246664290627;82.2543831484397
teszt;84;118.53368148781396;113.86890204178984;78.69374107542816;82.31430200416287
teszt;85;118.68117914877327;113.8653718597241;79.0444576649325;82.52946020941003
teszt;86;119.99442005399426;110.51206981040451;79.67440320051762;81.97266218662341
teszt;87;116.85805046942171;114.08250226375371;79.74520816589255;82.53138344745241
teszt;88;123.28916366488286;109.3661173810296;79.97647528721727;80.90991171571157
teszt;89;118.80319323740761;114.92589908488165;80.28089290489481;81.61621108960873
teszt;90;116.17390634271472;111.00719287697775;81.04236784625999;77.33593742706188
teszt;91;107.09979831419504;111.00501724425771;78.76656843109974;78.02354970887603
teszt;92;93.2313611560005;102.83266020918082;68.8365176004563;71.84232651049281
teszt;93;99.58431763189442;108.19406549450157;59.90607136248934;69.9512369245567
teszt;94;90.19926904284016;111.93887948664938;53.42727259656071;71.81565039221815
teszt;95;98.67189017117026;112.37253359216574;52.48318812288812;76.11679267014637
teszt;96;101.99069405587034;96.538707825577;47.42267345805891;80.04690713760749
teszt;97;100.97266863956715;104.81375618960554;42.030334273802715;79.64837284385464
teszt;98;105.44939773348656;113.6293391194353;40.886382945138486;83.22686850382091
teszt;99;107.79943017514007;91.89406956276797;36.21105684524999;88.3985234489174
teszt;100;101.95227588516751;84.74929040585538;20.209461969210373;89.91627032632594
teszt;101;105.14891482969978;88.01141773125323;21.29612664519605;92.0336929909862
teszt;102;97.50035186325049;109.59419882877668;63.09018107362209;92.30310103147796
teszt;103;145.56226082632594;111.42702086104582;73.98367002415553;91.17590355007084
teszt;104;149.52714783384334;116.44560634492872;72.84322990025217;89.05270991562124
teszt;105;148.7656089463184;119.89152202289901;71.09446624355228;89.67671987392646
teszt;106;159.61151703451915;122.17187068870234;75.13671316207451;87.76509712646379
teszt;107;162.16641141053876;122.19575496270043;78.58645987337877;84.87377240584387
teszt;108;169.8939099877336;124.53410984372974;83.53450137568598;85.9083009745012
teszt;109;152.23459663896745;125.9334623579352;75.77169476843038;87.29149506363136
teszt;110;153.684605658672;123.69155092550791;74.19050844234891;87.55711527922332
teszt;111;154.30227284561028;126.04839170632262;73.5281184800471;87.90832767265195
teszt;112;150.8624059003135;130.0516184653892;72.42700243735176;87.29912807041482
teszt;113;144.50026006079764;126.09028235793073;74.65603938908886;88.71319615896194
teszt;114;145.85939872025054;124.2565958661261;73.39770754645755;90.51218346506255
teszt;115;134.72162517715213;123.50946997572002;69.60391624702997;87.77081802959658
