class;frame_id;x0;y0;z0;v0;x1;y1;z1;v1;x2;y2;z2;v2;x3;y3;z3;v3;x4;y4;z4;v4;x5;y5;z5;v5;x6;y6;z6;v6;x7;y7;z7;v7;x8;y8;z8;v8;x9;y9;z9;v9;x10;y10;z10;v10;x11;y11;z11;v11;x12;y12;z12;v12;x13;y13;z13;v13;x14;y14;z14;v14;x15;y15;z15;v15;x16;y16;z16;v16;x17;y17;z17;v17;x18;y18;z18;v18;x19;y19;z19;v19;x20;y20;z20;v20;x21;y21;z21;v21;x22;y22;z22;v22;x23;y23;z23;v23;x24;y24;z24;v24;x25;y25;z25;v25;x26;y26;z26;v26;x27;y27;z27;v27;x28;y28;z28;v28;x29;y29;z29;v29;x30;y30;z30;v30;x31;y31;z31;v31;x32;y32;z32;v32
teszt;0;0.517897367477417;0.11400067806243896;-0.5424272418022156;0.9998875856399536;0.5336194634437561;0.06919115781784058;-0.5155198574066162;0.9997115731239319;0.5421047210693359;0.06881701946258545;-0.5152844190597534;0.9997445940971375;0.5496953129768372;0.0685584545135498;-0.5152413249015808;0.999605119228363;0.507168710231781;0.06512218713760376;-0.538809597492218;0.999708354473114;0.49500876665115356;0.06053954362869263;-0.5390169620513916;0.999735414981842;0.4817686080932617;0.05557185411453247;-0.5390746593475342;0.9995883107185364;0.5481315851211548;0.07976937294006348;-0.2977098524570465;0.9998512268066406;0.4494861960411072;0.05919694900512695;-0.40218105912208557;0.9998552799224854;0.5204691886901855;0.16447818279266357;-0.45461323857307434;0.999922513961792;0.4924328029155731;0.1590508222579956;-0.48584669828414917;0.9999316930770874;0.5736956000328064;0.27403444051742554;-0.16600275039672852;0.9999518394470215;0.33926451206207275;0.26781612634658813;-0.28483688831329346;0.9999089241027832;0.6753309965133667;0.580403208732605;-0.3481702506542206;0.9960231781005859;0.33635419607162476;0.6078511476516724;-0.5738940834999084;0.9970505237579346;0.6307695508003235;0.2728513479232788;-0.6337500810623169;0.999498724937439;0.43024742603302;0.23946762084960938;-0.8654704689979553;0.9997372031211853;0.619566798210144;0.19965457916259766;-0.6852210164070129;0.9962518811225891;0.44078657031059265;0.15374326705932617;-0.9209510087966919;0.9983439445495605;0.616463303565979;0.1758907437324524;-0.6258943676948547;0.9945164322853088;0.4386208951473236;0.12989330291748047;-0.8602136969566345;0.9978058934211731;0.6110665202140808;0.197970449924469;-0.6162130236625671;0.9959944486618042;0.4369828402996063;0.15949708223342896;-0.8475298285484314;0.9977394342422485;0.5429388284683228;0.8162670135498047;0.026369387283921242;0.9918684959411621;0.39693763852119446;0.825402021408081;-0.024358060210943222;0.9890646934509277;0.5612605810165405;1.2164238691329956;0.10105974227190018;0.031077492982149124;0.4199042320251465;1.2270309925079346;0.204158216714859;0.0326199010014534;0.5646085739135742;1.5453693866729736;0.5873018503189087;5.899313327972777e-05;0.4224044978618622;1.5543917417526245;0.6718823909759521;0.00019885864458046854;0.562057375907898;1.609139084815979;0.6275232434272766;0.00033477513352409005;0.41497597098350525;1.6196320056915283;0.7132888436317444;0.00028387742349877954;0.56190025806427;1.692643642425537;0.4214879274368286;0.0001308909268118441;0.4402933716773987;1.690173625946045;0.4748099744319916;0.00031413324177265167
teszt;1;0.5202724933624268;0.11463169008493423;-0.3384142220020294;0.9998472332954407;0.534355878829956;0.0704355239868164;-0.31254342198371887;0.9996841549873352;0.5423938035964966;0.07027584314346313;-0.3123777508735657;0.999711275100708;0.5497891902923584;0.0703989639878273;-0.31228452920913696;0.9995811581611633;0.5076634883880615;0.0657620057463646;-0.3527880609035492;0.9996868968009949;0.49593406915664673;0.06095874309539795;-0.35286280512809753;0.9997037053108215;0.4841916263103485;0.055750880390405655;-0.3531249165534973;0.9995734095573425;0.5482625365257263;0.08123693615198135;-0.10515785962343216;0.9998251795768738;0.4563932418823242;0.0577225424349308;-0.28491881489753723;0.9998478889465332;0.5266351103782654;0.1627042442560196;-0.25305572152137756;0.9999074339866638;0.4956847131252289;0.15892179310321808;-0.30569028854370117;0.9999245405197144;0.5753051042556763;0.27193349599838257;0.034560199826955795;0.9999471306800842;0.34048670530319214;0.26760217547416687;-0.2172802835702896;0.9999074339866638;0.6756795644760132;0.5807471871376038;-0.14109255373477936;0.9959744215011597;0.336266428232193;0.6035215258598328;-0.5133715271949768;0.997174084186554;0.6323287487030029;0.27381592988967896;-0.48592156171798706;0.9994452595710754;0.430297315120697;0.23946228623390198;-0.7865102291107178;0.9997181296348572;0.6195690631866455;0.20162159204483032;-0.5482654571533203;0.9959957599639893;0.440996378660202;0.15279114246368408;-0.8401800394058228;0.9982295632362366;0.6164333820343018;0.17724446952342987;-0.4968428611755371;0.9942615032196045;0.43862205743789673;0.12913095951080322;-0.7967634797096252;0.9976786375045776;0.6111770272254944;0.2005094289779663;-0.4756493866443634;0.9957429766654968;0.4372568428516388;0.15670590102672577;-0.7727739810943604;0.9975935220718384;0.5493648052215576;0.8402213454246521;0.04989033192396164;0.991175651550293;0.39774835109710693;0.853767454624176;-0.04785405099391937;0.9884985089302063;0.5641313791275024;1.2645580768585205;0.10397780686616898;0.035621751099824905;0.42100420594215393;1.276824951171875;0.01029839925467968;0.03756115958094597;0.5695712566375732;1.6490180492401123;0.43462735414505005;7.334608380915597e-05;0.42323464155197144;1.666514277458191;0.28903067111968994;0.00022189771698322147;0.5689979195594788;1.7132742404937744;0.4536789655685425;0.0003568699466995895;0.41588878631591797;1.7352805137634277;0.30825555324554443;0.0002976314863190055;0.5660133957862854;1.7907965183258057;0.22115564346313477;0.0001746718626236543;0.44594806432724;1.7970445156097412;0.024294307455420494;0.0003365558513905853
teszt;2;0.5216963291168213;0.11457706987857819;-0.32980406284332275;0.9998350739479065;0.5348501801490784;0.07045930624008179;-0.30006831884384155;0.9996935725212097;0.5427239537239075;0.07036195695400238;-0.2999213933944702;0.9997138977050781;0.5499233603477478;0.0706111341714859;-0.29986146092414856;0.9995988607406616;0.5080128908157349;0.06574029475450516;-0.3302200138568878;0.9996961355209351;0.49677759408950806;0.060952093452215195;-0.3301873505115509;0.9997045993804932;0.4857276380062103;0.05569451302289963;-0.33045318722724915;0.9995916485786438;0.5483076572418213;0.0813690721988678;-0.07731439918279648;0.9998209476470947;0.4597320854663849;0.05611144378781319;-0.21239109337329865;0.9998482465744019;0.5287110805511475;0.16149252653121948;-0.24173913896083832;0.9999023675918579;0.4974072575569153;0.15819495916366577;-0.28089919686317444;0.9999226927757263;0.5771815776824951;0.2700102627277374;0.03754804655909538;0.9999451637268066;0.3414803743362427;0.26760390400886536;-0.132818803191185;0.9999068975448608;0.6761061549186707;0.5815509557723999;-0.1687520295381546;0.9958915710449219;0.3360068202018738;0.6028865575790405;-0.46209967136383057;0.9972712993621826;0.6331483721733093;0.27382540702819824;-0.5236603021621704;0.9993306994438171;0.4305742681026459;0.23738233745098114;-0.7744206190109253;0.9995939135551453;0.619978666305542;0.20173069834709167;-0.5882308483123779;0.9955720901489258;0.4421803653240204;0.15087130665779114;-0.8303886651992798;0.9976641535758972;0.6176239848136902;0.17665082216262817;-0.5411287546157837;0.9938136339187622;0.4396730363368988;0.126997172832489;-0.7874410152435303;0.9970101118087769;0.6128041744232178;0.20069165527820587;-0.5154165625572205;0.9952380061149597;0.4386444687843323;0.15436838567256927;-0.7626156210899353;0.9969136714935303;0.5573304295539856;0.8793994188308716;0.047674018889665604;0.9886631369590759;0.399016797542572;0.8965982794761658;-0.0455528162419796;0.9855519533157349;0.5641423463821411;1.315382957458496;0.045188214629888535;0.0374322310090065;0.4188086688518524;1.3311198949813843;0.07601893693208694;0.03834766522049904;0.5650608539581299;1.7302148342132568;0.2642543613910675;0.0001465146488044411;0.42002394795417786;1.7348452806472778;0.3326944410800934;0.0002763048105407506;0.5637947916984558;1.7878841161727905;0.2737063765525818;0.0004204323922749609;0.41301050782203674;1.790460467338562;0.3498380482196808;0.00035475505865179;0.5614009499549866;1.8717498779296875;0.02889244072139263;0.00033327561686746776;0.44497770071029663;1.8776816129684448;0.0704968124628067;0.0003903364122379571
teszt;3;0.5225598812103271;0.11468296498060226;-0.331754207611084;0.99982088804245;0.5352458953857422;0.07128477096557617;-0.3021886944770813;0.9996897578239441;0.5429556965827942;0.07153204083442688;-0.3020363748073578;0.9997071027755737;0.5500863194465637;0.07202040404081345;-0.3019040524959564;0.999600887298584;0.5085829496383667;0.06571310013532639;-0.33056890964508057;0.9996916055679321;0.4978656768798828;0.060752443969249725;-0.33050405979156494;0.9996973276138306;0.487331748008728;0.05513099208474159;-0.33075711131095886;0.9995956420898438;0.5483064651489258;0.08152161538600922;-0.07766185700893402;0.9998103380203247;0.46155092120170593;0.05366034060716629;-0.2054656594991684;0.9998430013656616;0.5289843678474426;0.16147372126579285;-0.2433328628540039;0.9998921155929565;0.4983620047569275;0.15741285681724548;-0.28053078055381775;0.9999157190322876;0.5782864093780518;0.2685054540634155;0.03728509694337845;0.9999436140060425;0.34241920709609985;0.2669641077518463;-0.12880076467990875;0.9999072551727295;0.6756687164306641;0.5815437436103821;-0.1531398892402649;0.9950621128082275;0.3359134793281555;0.5966846942901611;-0.4865759611129761;0.997214138507843;0.6338267922401428;0.27385592460632324;-0.478648841381073;0.9992650151252747;0.4303012192249298;0.23546011745929718;-0.7806426286697388;0.9995144605636597;0.6199752688407898;0.202179417014122;-0.5410867929458618;0.9954327344894409;0.4421969950199127;0.1478404402732849;-0.8567312955856323;0.9973419308662415;0.6183236837387085;0.17542538046836853;-0.4965234696865082;0.9937058687210083;0.4396750330924988;0.12308236211538315;-0.8357300162315369;0.9966436624526978;0.6138467788696289;0.2006801962852478;-0.4709863066673279;0.9950084090232849;0.438660204410553;0.15097855031490326;-0.7905181050300598;0.996497631072998;0.5593618154525757;0.8980274796485901;0.03883999213576317;0.9815670847892761;0.3992413878440857;0.9153615236282349;-0.0369524285197258;0.9773356914520264;0.5646811723709106;1.3493332862854004;0.04640667513012886;0.03694944456219673;0.418556809425354;1.3719426393508911;0.10390559583902359;0.03702787682414055;0.5615615248680115;1.7890169620513916;0.29513856768608093;0.000243111775489524;0.417390376329422;1.798824667930603;0.38575875759124756;0.00031170688453130424;0.5592190623283386;1.8437120914459229;0.30694687366485596;0.0005246465443633497;0.4100860059261322;1.854177474975586;0.407470703125;0.000447479251306504;0.5580106377601624;1.9407190084457397;0.049571193754673004;0.000498078006785363;0.44292178750038147;1.9441490173339844;0.10709629952907562;0.00046702451072633266
teszt;4;0.5233250856399536;0.11468155682086945;-0.3148929178714752;0.999819815158844;0.535527229309082;0.07253728061914444;-0.2852778732776642;0.9996987581253052;0.5430542230606079;0.07309155911207199;-0.2851278483867645;0.9997155070304871;0.5501417517662048;0.07376642525196075;-0.28500649333000183;0.9996182322502136;0.5093809962272644;0.06575112044811249;-0.3138737678527832;0.9997008442878723;0.49907559156417847;0.060676440596580505;-0.31368863582611084;0.9997060298919678;0.4887579083442688;0.05490000918507576;-0.3139498829841614;0.9996134042739868;0.5482635498046875;0.08195118606090546;-0.062286026775836945;0.9998122453689575;0.4620878994464874;0.0526205450296402;-0.1907929629087448;0.9998456835746765;0.5289990305900574;0.16143165528774261;-0.2277856320142746;0.9998891353607178;0.499027281999588;0.15695630013942719;-0.2654215693473816;0.9999139904975891;0.5795964002609253;0.2673657238483429;0.041877929121255875;0.9999444484710693;0.3425515592098236;0.2658216059207916;-0.11705687642097473;0.9999100565910339;0.6745332479476929;0.5827235579490662;-0.12792588770389557;0.9942508935928345;0.3359835743904114;0.5912607908248901;-0.47961410880088806;0.9970777034759521;0.6342929601669312;0.27705639600753784;-0.41764628887176514;0.999127984046936;0.4299142062664032;0.23106548190116882;-0.8001136779785156;0.999407172203064;0.6199914216995239;0.2079184651374817;-0.4770526587963104;0.9949734807014465;0.442207932472229;0.14347374439239502;-0.8611565232276917;0.9969127178192139;0.6187652349472046;0.17663277685642242;-0.4345611333847046;0.9932330846786499;0.43966296315193176;0.11761754006147385;-0.8470592498779297;0.9961311221122742;0.6145972013473511;0.20332477986812592;-0.40967652201652527;0.9944574236869812;0.43865546584129333;0.14696544408798218;-0.7947967648506165;0.9959350824356079;0.5626235604286194;0.8996638655662537;0.034736353904008865;0.972415030002594;0.3993014991283417;0.9177147150039673;-0.03288945183157921;0.9669926166534424;0.5695223212242126;1.3607020378112793;0.04622285068035126;0.03542165085673332;0.41860613226890564;1.3869554996490479;0.10266423225402832;0.035251278430223465;0.5624843835830688;1.8124024868011475;0.29031801223754883;0.0003040317678824067;0.41749054193496704;1.828038215637207;0.3678252398967743;0.00033604318741708994;0.5597926378250122;1.8654100894927979;0.3012653589248657;0.0005816450575366616;0.4101676046848297;1.8818320035934448;0.38749513030052185;0.00048590253572911024;0.5593453049659729;1.9692564010620117;0.037471871823072433;0.00063582684379071;0.4434201121330261;1.9752635955810547;0.07500407099723816;0.0005114860832691193
teszt;5;0.5239961743354797;0.11141270399093628;-0.3438184857368469;0.999817967414856;0.5360109210014343;0.07020130753517151;-0.31357553601264954;0.999702513217926;0.5435222387313843;0.07047539204359055;-0.31344351172447205;0.9997159242630005;0.5506366491317749;0.07081501930952072;-0.3132852613925934;0.9996271133422852;0.5098323225975037;0.06249102205038071;-0.33913707733154297;0.9997056126594543;0.4995926320552826;0.05613669380545616;-0.33894142508506775;0.9997091293334961;0.4891100823879242;0.04931817203760147;-0.33917951583862305;0.9996266961097717;0.5483710169792175;0.07627987116575241;-0.08009491115808487;0.999805748462677;0.46183815598487854;0.04348091036081314;-0.1938813179731369;0.9998447299003601;0.5298628211021423;0.1557999700307846;-0.2529997229576111;0.9998855590820312;0.4996691048145294;0.14922799170017242;-0.28654465079307556;0.9999120831489563;0.5813466310501099;0.262332022190094;0.025379028171300888;0.999944806098938;0.342610627412796;0.26353058218955994;-0.10963952541351318;0.9999138712882996;0.6723333597183228;0.5829814672470093;-0.16574090719223022;0.9934126734733582;0.33605462312698364;0.5913997888565063;-0.4823559820652008;0.9970705509185791;0.6346517205238342;0.28467974066734314;-0.4820376932621002;0.9990512728691101;0.42965927720069885;0.2311960905790329;-0.8412641882896423;0.9993588328361511;0.62062007188797;0.2166765183210373;-0.5342651605606079;0.9948198795318604;0.44231608510017395;0.14353109896183014;-0.9141108989715576;0.996737539768219;0.6190141439437866;0.18422174453735352;-0.4737912118434906;0.9931212663650513;0.4396815299987793;0.11753441393375397;-0.8835234045982361;0.9959325194358826;0.6147568225860596;0.2088335007429123;-0.46963632106781006;0.9942103028297424;0.4387752115726471;0.1471322774887085;-0.837372362613678;0.9956867098808289;0.5638549327850342;0.9017742872238159;0.023705115541815758;0.9540171027183533;0.39997023344039917;0.9203083515167236;-0.0218209195882082;0.946873128414154;0.5704460144042969;1.3699028491973877;0.02754189632833004;0.03357314690947533;0.4186125099658966;1.3957055807113647;0.11583420634269714;0.033259689807891846;0.5617483854293823;1.8238208293914795;0.2725349962711334;0.00037000523298047483;0.4168144166469574;1.840244174003601;0.4137062728404999;0.0003572021669242531;0.5586887001991272;1.8756458759307861;0.2824110686779022;0.0006454281392507255;0.40919196605682373;1.8944172859191895;0.4366570711135864;0.00056080223293975;0.5578619241714478;1.9840428829193115;0.0018880313728004694;0.0007278896518982947;0.44280707836151123;1.9897515773773193;0.11577031016349792;0.0005808231071569026
teszt;6;0.5234295725822449;0.10890640318393707;-0.29890012741088867;0.9998176693916321;0.5356732606887817;0.0688411071896553;-0.2661236822605133;0.9997087121009827;0.5431423187255859;0.06925977021455765;-0.26607105135917664;0.9997202157974243;0.5503534078598022;0.06971301138401031;-0.2659512460231781;0.9996405839920044;0.5097927451133728;0.06078145653009415;-0.29259955883026123;0.9997111558914185;0.49956607818603516;0.054042745381593704;-0.2923929989337921;0.9997133016586304;0.4890451431274414;0.04668232426047325;-0.29268592596054077;0.9996395707130432;0.5482947826385498;0.07584517449140549;-0.033840812742710114;0.9998043179512024;0.46173402667045593;0.04183075577020645;-0.15307389199733734;0.9998452663421631;0.5297353863716125;0.154764324426651;-0.20943546295166016;0.9998826384544373;0.4996371567249298;0.1469840258359909;-0.2445899099111557;0.9999098181724548;0.5813434720039368;0.26229655742645264;0.056310366839170456;0.9999451637268066;0.3426037132740021;0.2634927034378052;-0.08498208224773407;0.9999158978462219;0.6694592237472534;0.5830473899841309;-0.14947384595870972;0.992874026298523;0.3364906907081604;0.590165376663208;-0.46348389983177185;0.9970407485961914;0.6337364912033081;0.28634294867515564;-0.47269517183303833;0.9990182518959045;0.42935723066329956;0.2307673543691635;-0.8275032043457031;0.9993119239807129;0.6206329464912415;0.21782362461090088;-0.5374228358268738;0.9947986006736755;0.4420437514781952;0.14208580553531647;-0.8998149633407593;0.9965549111366272;0.6189700961112976;0.1863216906785965;-0.49002087116241455;0.9931561946868896;0.43966144323349;0.11637458950281143;-0.8715260028839111;0.9957128167152405;0.6144693493843079;0.20992617309093475;-0.46472471952438354;0.9941301345825195;0.4388630986213684;0.14714618027210236;-0.8237847089767456;0.9954391717910767;0.5642987489700317;0.9058777093887329;0.021625934168696404;0.9397494196891785;0.4000060260295868;0.9248291850090027;-0.019777974113821983;0.9309810996055603;0.5708619356155396;1.3792462348937988;0.012030765414237976;0.03137955069541931;0.41826093196868896;1.402197241783142;0.10097496956586838;0.031108347699046135;0.5595620274543762;1.8388943672180176;0.24746482074260712;0.0003924050251953304;0.41493746638298035;1.8516464233398438;0.3593996465206146;0.000366638763807714;0.5554808378219604;1.8901772499084473;0.2562415897846222;0.0006528818630613387;0.40711838006973267;1.9055992364883423;0.3788096010684967;0.0005870991735719144;0.5561966300010681;1.9979361295700073;-0.020357200875878334;0.0007722364389337599;0.44150644540786743;1.998468279838562;0.05256721004843712;0.0006237131310626864
teszt;7;0.5231307148933411;0.10893427580595016;-0.2864897549152374;0.9998291730880737;0.5354741811752319;0.06898507475852966;-0.25405648350715637;0.9997292757034302;0.5428974628448486;0.06942213326692581;-0.2539316713809967;0.9997394680976868;0.5501692295074463;0.06989052891731262;-0.25381186604499817;0.9996678233146667;0.509657084941864;0.06079096719622612;-0.2799195647239685;0.9997316002845764;0.49945762753486633;0.05399942398071289;-0.2796591818332672;0.9997331500053406;0.48899850249290466;0.046639323234558105;-0.2798961102962494;0.9996669292449951;0.5480141043663025;0.07605212181806564;-0.024648690596222878;0.9998165965080261;0.46164700388908386;0.042098186910152435;-0.14084747433662415;0.9998553991317749;0.5294797420501709;0.15482941269874573;-0.19855453073978424;0.9998887181282043;0.49954119324684143;0.14709964394569397;-0.23277442157268524;0.9999147057533264;0.5812998414039612;0.2624381482601166;0.06455885618925095;0.9999479055404663;0.34255239367485046;0.2642837166786194;-0.07302629202604294;0.999920666217804;0.6684987545013428;0.5831669569015503;-0.1210121139883995;0.9925262928009033;0.3364691734313965;0.5896649956703186;-0.4510621428489685;0.9970545768737793;0.633750319480896;0.2901974618434906;-0.4142080545425415;0.9990090131759644;0.42721062898635864;0.22848211228847504;-0.8169931769371033;0.9992964267730713;0.620667040348053;0.2221299558877945;-0.479602187871933;0.9948412179946899;0.4401293694972992;0.13995251059532166;-0.8892443776130676;0.9964885711669922;0.6190229058265686;0.18946634232997894;-0.43738266825675964;0.9932683706283569;0.4372347295284271;0.11394470185041428;-0.8590935468673706;0.9956327080726624;0.6144837737083435;0.21265098452568054;-0.40703877806663513;0.9941551685333252;0.437574565410614;0.14374132454395294;-0.8128761053085327;0.9953498840332031;0.5644859671592712;0.9027791023254395;0.020522015169262886;0.930899441242218;0.40013739466667175;0.924094021320343;-0.018643856048583984;0.9212464094161987;0.5733672976493835;1.3760136365890503;0.008911962620913982;0.029370078817009926;0.4184436500072479;1.4022212028503418;0.10670202225446701;0.02913355641067028;0.5607451796531677;1.8327593803405762;0.2373589426279068;0.00041278143180534244;0.41523465514183044;1.850984811782837;0.36705344915390015;0.00036872425698675215;0.5566160082817078;1.883687138557434;0.24567177891731262;0.000665218336507678;0.4075413644313812;1.9048177003860474;0.3863511383533478;0.0005913935601711273;0.5574801564216614;1.9919180870056152;-0.028592374175786972;0.0008169593056663871;0.4423659145832062;1.9970060586929321;0.06488821655511856;0.0006393524236045778
teszt;8;0.523703396320343;0.10847143828868866;-0.3064936399459839;0.9998335838317871;0.5356934666633606;0.06877444684505463;-0.27522537112236023;0.999739408493042;0.5431622266769409;0.06921514123678207;-0.27505916357040405;0.9997488856315613;0.5504414439201355;0.06967954337596893;-0.274924099445343;0.9996830821037292;0.5099071264266968;0.06052359938621521;-0.3025601804256439;0.9997420907020569;0.49982497096061707;0.05366256460547447;-0.3023441731929779;0.9997438192367554;0.4892894923686981;0.04622633010149002;-0.30257514119148254;0.9996837377548218;0.5480149388313293;0.07545355707406998;-0.04685083404183388;0.9998201131820679;0.46170252561569214;0.040968164801597595;-0.17104850709438324;0.9998596906661987;0.5298673510551453;0.1535617560148239;-0.21817736327648163;0.9998896718025208;0.49994218349456787;0.1451365202665329;-0.25455665588378906;0.9999160766601562;0.5812734365463257;0.26235976815223694;0.05359404534101486;0.9999496340751648;0.34250831604003906;0.26327693462371826;-0.0958307534456253;0.9999243021011353;0.6682981252670288;0.5834053754806519;-0.11778036504983902;0.9922803044319153;0.3364807963371277;0.5887539386749268;-0.46097901463508606;0.9970078468322754;0.633782148361206;0.2918562889099121;-0.41242554783821106;0.9989520311355591;0.4276147782802582;0.2282332330942154;-0.8175662755966187;0.9992379546165466;0.6207964420318604;0.22392691671848297;-0.47503411769866943;0.994685709476471;0.44232121109962463;0.14004208147525787;-0.8877743482589722;0.9962477684020996;0.6190183162689209;0.1921151727437973;-0.4333944618701935;0.9931302666664124;0.43913763761520386;0.11347078531980515;-0.8561496138572693;0.9953433275222778;0.6144527792930603;0.2146795690059662;-0.4051375389099121;0.9939044117927551;0.43938159942626953;0.1436970829963684;-0.8122698664665222;0.9949977397918701;0.5641711354255676;0.9039856791496277;0.020549770444631577;0.9252509474754333;0.4001272916793823;0.9255625009536743;-0.018674669787287712;0.9141611456871033;0.573178231716156;1.3743559122085571;0.019454937428236008;0.028834648430347443;0.4180627465248108;1.3987144231796265;0.09343172609806061;0.028382519260048866;0.5598503947257996;1.8314045667648315;0.27311235666275024;0.00048721086932346225;0.41351282596588135;1.8462072610855103;0.3437877595424652;0.00040592692676000297;0.5554328560829163;1.8834905624389648;0.28347665071487427;0.0007243357831612229;0.40573635697364807;1.9002685546875;0.3623138666152954;0.0006574552971869707;0.5567185282707214;1.9904091358184814;0.014237103052437305;0.0009402412106283009;0.4402351379394531;1.9930169582366943;0.040648262947797775;0.000697796989697963
teszt;9;0.5239146947860718;0.10802418738603592;-0.3114619851112366;0.9998387694358826;0.5358220338821411;0.06832122057676315;-0.28037717938423157;0.9997513890266418;0.543259859085083;0.06886164098978043;-0.2802172303199768;0.9997596740722656;0.5505438446998596;0.06944120675325394;-0.2800914943218231;0.9996999502182007;0.5100797414779663;0.05949807167053223;-0.3092235028743744;0.9997539520263672;0.5000517964363098;0.05215783044695854;-0.30900099873542786;0.9997550249099731;0.489378422498703;0.04409531131386757;-0.30922383069992065;0.9997007250785828;0.5479362607002258;0.07458231598138809;-0.04712044075131416;0.9998257160186768;0.4615606665611267;0.03780544176697731;-0.17795944213867188;0.9998648166656494;0.5298601984977722;0.1528867930173874;-0.22101083397865295;0.9998921155929565;0.5000349283218384;0.14327296614646912;-0.2593924105167389;0.9999176263809204;0.5812480449676514;0.2607232630252838;0.051509156823158264;0.9999513030052185;0.3416694700717926;0.2623925805091858;-0.10216622054576874;0.999927282333374;0.6651530861854553;0.5839852094650269;-0.11631478369235992;0.9915163516998291;0.33715590834617615;0.5884283781051636;-0.4630693197250366;0.9969593286514282;0.6327064037322998;0.29201287031173706;-0.4175852835178375;0.9989416003227234;0.4275820851325989;0.22730571031570435;-0.8628363013267517;0.9992444515228271;0.6197696924209595;0.22354616224765778;-0.47975513339042664;0.99473637342453;0.4423094093799591;0.1396557241678238;-0.9345300197601318;0.9962820410728455;0.6186050176620483;0.19194360077381134;-0.43639516830444336;0.9932429194450378;0.43909916281700134;0.11229413002729416;-0.9010426998138428;0.9953940510749817;0.6138785481452942;0.2145722359418869;-0.4095464050769806;0.9939455986022949;0.4393572211265564;0.143173485994339;-0.8589342832565308;0.9950310587882996;0.5638637542724609;0.9024402499198914;0.019319910556077957;0.9211359024047852;0.40008488297462463;0.9240534901618958;-0.01750391162931919;0.9082799553871155;0.5735854506492615;1.374579668045044;0.022942330688238144;0.027646707370877266;0.4180302321910858;1.4007996320724487;0.1355801522731781;0.026967328041791916;0.5610312223434448;1.8349612951278687;0.2726998031139374;0.0005069469334557652;0.41382572054862976;1.851446270942688;0.42472198605537415;0.0004058019840158522;0.5571012496948242;1.8876088857650757;0.2831887900829315;0.000743307638913393;0.40617644786834717;1.9060242176055908;0.4487558901309967;0.0006728565786033869;0.5574301481246948;1.99695885181427;0.002398331882432103;0.0009662730735726655;0.4410169720649719;2.0007472038269043;0.0681472197175026;0.000711615604814142
